Survival Function:normal reliability (survival) function x,Survival Function:normal reliability (survival) function y,Lognormal Distribution:lognormal distribution x,Lognormal Distribution:lognormal distribution y,Hazard Function:normal failure rate (hazard) function x,Hazard Function:normal failure rate (hazard) function y,Lognormal Probability Plot:lognormal probability plot scatter x,Lognormal Probability Plot:lognormal probability plot scatter y,Lognormal Probability Plot:lognormal probability plot x,Lognormal Probability Plot:lognormal probability plot y,RELA
Time (t),Reliability 1-F(t),Time (t),f(t),Time (t),Failure Rate (fr/time),Time (t),Unreliability F(t),Time (t),Unreliability F(t)
0.0001,0.9995788827671757,0.0001,0.0002619833880048355,0.0001,0.0002620937602038731,9.033,5.188889879745261,0.0001,9.999999997489795e-05
0.12352758620689656,0.9995453722294624,0.12352758620689656,0.0002812219797378972,0.12352758620689656,0.0002813498892107701,9.521,7.161492003200465,0.12352758620689656,0.12352758620693294
0.2469551724137931,0.9995094093055257,0.2469551724137931,0.0003017333631208921,0.2469551724137931,0.00030188146335764966,9.666,8.294728124227163,0.2469551724137931,0.2469551724137773
0.3703827586206897,0.9994708324163634,0.3703827586206897,0.00032359071075558363,0.3703827586206897,0.00032376203512938633,10.014,9.118458035496019,0.3703827586206897,0.37038275862073533
0.49381034482758623,0.9994294707432405,0.49381034482758623,0.00034687058586457386,0.49381034482758623,0.0003470685986542086,10.072000000000001,9.776981827638338,0.49381034482758623,0.4938103448275797
0.6172379310344828,0.9993851438030102,0.6172379310344828,0.000371653042349817,0.6172379310344828,0.0003718816961152205,10.242,10.331739282514832,0.6172379310344828,0.6172379310345377
0.7406655172413794,0.9993376610111426,0.7406655172413794,0.0003980217238378168,0.7406655172413794,0.00039828552386897274,10.273,10.814893556386437,0.7406655172413794,0.7406655172413821
0.864093103448276,0.9992868212326094,0.864093103448276,0.00042606396136311614,0.864093103448276,0.0004263680379949081,10.559000000000001,11.245494723612182,0.864093103448276,0.8640931034482264
0.9875206896551725,0.9992324123208147,0.9875206896551725,0.00045587086932112955,0.9875206896551725,0.0004562210589849913,10.854000000000001,11.635803514204895,0.9875206896551725,0.9875206896551845
1.110948275862069,0.9991742106448095,1.110948275862069,0.00048753743930211066,1.110948275862069,0.00048794037526997625,10.964,11.994199218237668,1.110948275862069,1.1109482758620288
1.2343758620689655,0.9991119806050751,1.2343758620689655,0.0005211626313974067,1.2343758620689655,0.000521625845264896,10.967,12.32667525911711,1.2343758620689655,1.2343758620689869
1.357803448275862,0.9990454741382169,1.357803448275862,0.0005568494625489271,1.357803448275862,0.0005573814976032688,11.112,12.637674770534204,1.357803448275862,1.3578034482758312
1.4812310344827588,0.9989744302109556,1.4812310344827588,0.0005947050914948147,1.4812310344827588,0.0005953156292190878,11.17,12.93058826732613,1.4812310344827588,1.4812310344827893
1.6046586206896554,0.9988985743038713,1.6046586206896554,0.0006348408998422729,1.6046586206896554,0.0006355409009214885,11.222000000000001,13.208065576491322,1.6046586206896554,1.6046586206896336
1.728086206896552,0.9988176178854024,1.728086206896552,0.0006773725687824196,1.728086206896552,0.0006781744300991462,11.398,13.472219679759633,1.728086206896552,1.7280862068965916
1.8515137931034484,0.9987312578766715,1.8515137931034484,0.0007224201509416985,1.8515137931034484,0.0007233378801796815,11.514000000000001,13.724764637639964,1.8515137931034484,1.851513793103436
1.974941379310345,0.9986391761077696,1.974941379310345,0.0007701081368479798,1.974941379310345,0.0007711575464618789,11.689,13.967111703337196,1.974941379310345,1.974941379310394
2.098368965517242,0.9985410387661977,2.098368965517242,0.0008205655154710702,2.098368965517242,0.0008217644379293265,11.742,14.20043801767497,2.098368965517242,2.0983689655172384
2.2217965517241383,0.9984364958382271,2.2217965517241383,0.0008739258282840676,2.2217965517241383,0.0008752943546503398,11.831,14.425736798261141,2.2217965517241383,2.2217965517240827
